-6,15,8:6,6,-2,-2,8,-8,0
-18,-16,6:6,6,-2,6,12,18,26
-29,-15,13:6,6,-2,6,14,12,40
-18,-17,8:6,6,-2,6,16,12,22
-21,-9,11:6,6,-2,6,18,28,28
-18,-10,6:6,6,-2,6,22,22,24
-6,2,12:6,6,-2,10,0,14,6
-6,1,13:6,6,-2,12,0,6,8
-10,-6,11:6,6,-2,12,4,16,22
-6,1,10:6,6,-2,12,12,14,0
-9,-3,2:6,6,-2,14,8,0,8
-7,8,10:6,6,-2,14,16,8,12
-6,9,-2:6,6,-2,16,0,-8,-6
-6,3,16:6,6,2,-6,-10,-12,18
-6,15,7:6,6,2,-4,4,-12,-12
-6,-3,7:6,6,2,-2,-8,6,6
-8,-5,9:6,6,2,-2,-4,10,10
-6,3,12:6,6,2,-2,6,0,-6
-6,12,11:6,6,2,0,4,16,8
-13,-13,10:6,6,2,6,10,16,20
-6,9,6:6,6,2,10,0,-4,8
-6,4,9:6,6,2,10,6,-4,16
-8,-8,4:6,6,2,10,6,14,2
-10,12,7:6,6,6,-6,10,8,10
-10,-1,18:6,6,6,-6,10,10,18
-6,16,15:6,6,6,-2,4,6,6
-6,5,-11:6,6,8,-4,4,-20,8
-10,-6,13:6,6,8,-4,10,22,4
-16,-7,22:6,6,8,2,4,8,26
-16,-11,2:6,6,8,2,4,10,24
-10,2,16:6,6,8,2,10,22,-10
-11,-11,10:6,6,8,6,10,16,18
-6,-2,6:6,6,8,6,12,12,4
-7,-5,3:6,6,8,8,0,2,-2
-14,2,9:6,6,8,8,6,0,-6
-8,-3,8:6,6,8,8,16,16,-2
-12,-10,6:6,6,8,10,4,22,22
-6,4,10:6,6,14,6,6,2,0
-20,-14,-4:6,6,14,8,-2,2,2
-20,-8,-5:6,6,14,8,-2,2,10
-8,4,2:6,6,14,8,16,-6,-8
-13,0,16:6,6,14,10,16,6,8
-6,-2,21:6,6,16,-16,4,-6,0
-6,18,19:6,6,16,-16,4,-6,22
-11,-7,20:-4,-14,-12,-2,10,10,4,32
-11,20,12:-4,-14,-12,-2,14,-12,-2,-12
-11,20,20:-4,-14,-12,-2,14,-2,8,-24
-11,22,0:-4,-14,-12,-2,14,-2,8,-2
-11,28,12:-4,-14,-12,14,-12,-22,-20,6
-11,8,14:-4,-14,-12,14,-12,-22,-16,2
-17,-12,16:-4,-14,-8,10,10,0,6,24
-11,-8,9:-4,-14,-8,10,10,8,0,12
-11,0,14:-4,-14,-8,10,20,10,20,10
-12,0,22:-4,-14,-8,10,20,20,30,-2
-15,-4,7:-4,-14,-8,20,12,10,30,12
-15,-9,16:-4,-14,-8,20,12,24,14,28
-15,-10,17:-4,-14,-8,20,12,26,14,20
-18,-16,14:-4,-14,-8,20,12,26,18,30
-15,-1,1:-4,-14,-8,20,12,30,14,6
-15,-7,19:-4,-14,-8,20,16,8,4,2
-15,-14,11:-4,-14,-8,20,16,12,6,20
-17,-16,11:-4,-14,-8,20,16,12,10,30
-15,6,18:-4,-14,-8,20,20,12,20,20
-15,-9,11:-4,-14,-8,20,22,20,16,16
-15,-9,9:-4,-14,-8,20,22,20,22,14
-17,-13,11:-4,-14,-8,20,22,22,12,30
-16,-16,7:-4,-14,-8,20,22,22,28,20
-17,-4,13:-4,-14,-8,20,28,22,30,12
-14,-2,14:-4,-14,10,-2,0,20,20,26
-11,7,10:-4,-14,10,-2,20,10,12,-4
-11,-1,20:-4,-14,10,10,10,6,2,22
-11,1,16:-4,-14,10,10,14,-4,4,16
-11,17,-1:-4,-14,10,10,18,6,16,-2
